"","experimentid","actual.rho","lower.rho","upper.rho","X","Cell.Type","Clone","Substrate","Loading","Media","Donor","Days.CM","Passage","Pre.Fix.Stain","Post.Fix.Stain","Purpose","Date.FISHed","Date.Imaged","ImageObject.","Folder","Good.","Data.Processed.","FISHed.Processed.By","Notes","Treatment.Type","Treatment.Length","GFP.dye","GFP.type","GFP.target","alexa.dye","alexa.target","TMR.dye","TMR.target","cy.dye","cy.target","nir.dye","nir.target","dapi.dye","dapi.target"
"74","G26",0.265170719696917,-0.201233645308238,0.556965492201327,54,"chondrocyte","het","glass","static","Basal","4",NA,"1","","","chondrocyte dedifferentiation core","2013-10-17","2013-10-18","","","y","y","CM","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"75","G27",0.220428007343074,-0.0238950636223502,0.425501283921315,55,"chondrocyte","het","glass","static","Basal","6",NA,"1","","","chondrocyte dedifferentiation core","2013-10-17","2013-10-18","","","y","y","CM","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"76","G28",-0.173146996788843,-0.366513959946985,0.00948475397894735,56,"chondrocyte","het","glass","static","Basal","4",NA,"2","","","chondrocyte dedifferentiation core","2013-10-27","2013-10-28","","","y","y","CM","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"77","G29",0.282828357772409,-0.13785880602523,0.561285419023067,57,"chondrocyte","het","glass","static","Basal","6",NA,"2","","","chondrocyte dedifferentiation core","2013-10-27","2013-10-28","","","y","y","CM","some unsegmented but overlapping cells not analyzed","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"78","G3",0.02482368731202,-0.151295359938864,0.215326907390204,22,"MSC","het","glass","static","CM+","",NA,"","","","small colonies before passaging","2013-08-07","2013-08-08","","/2013-08-08","y","y","","large/small colonies","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"79","G30",0.0387162793864343,-0.196225401554298,0.232154781904281,58,"chondrocyte","het","glass","static","Basal","4",NA,"3","","","chondrocyte dedifferentiation core","2013-10-30","2013-10-31","","","","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"80","G31",0.0613104987491333,-0.107460896473855,0.255983187336491,59,"chondrocyte","het","glass","static","Basal","6",NA,"3","","","chondrocyte dedifferentiation core","2013-10-30","2013-10-31","","","","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"81","G34",0.161581533105794,-0.0318548639204525,0.347962845782613,62,"chondrocyte","het","glass","static","Basal","4",NA,"5","","","chondrocyte dedifferentiation core","2014-04-17","2014-04-18","","","y","y","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"82","G35",0.0351670164936439,-0.136039009345127,0.209195655048467,63,"chondrocyte","het","glass","static","Basal","6",NA,"5","","","chondrocyte dedifferentiation core","2014-04-17","2014-04-18","","","y","y","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"83","G36",0.0338254793088791,-0.145100838941634,0.207658710115187,74,"chondrocyte","het","glass","static","Basal","4",NA,"7","","","chondrocyte dedifferentiation core","2013-11-21","2013-11-22","","","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
