objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA,Donor,CellNumber,ImgNum,ImgCellNum,Group,Score
14,5,TRUE,3,45,0,1,10,67,14,5,3,3
15,1,TRUE,1,10,84,2,10,68,15,1,1,3
15,2,TRUE,2,1,25,2,10,69,15,2,,3
15,3,TRUE,464,159,290,0,10,70,15,3,2,5
15,4,TRUE,379,86,264,0,10,71,15,4,,5
15,5,TRUE,207,583,254,3,10,72,15,5,3,3
15,6,TRUE,63,345,139,0,10,73,15,6,,3
15,7,TRUE,55,233,144,0,10,74,15,7,,3
16,1,TRUE,242,76,205,0,10,75,16,1,1,3
16,2,TRUE,392,120,159,0,10,76,16,2,,3
16,3,TRUE,168,142,266,2,10,77,16,3,2,2
16,4,TRUE,267,173,292,0,10,78,16,4,,2
16,5,TRUE,0,32,129,0,10,79,16,5,3,3
16,6,TRUE,0,29,73,0,10,80,16,6,,3
16,7,TRUE,136,189,206,2,10,81,16,7,4,2
16,8,TRUE,331,354,398,0,10,82,16,8,,2
17,1,TRUE,224,1,385,0,10,83,17,1,1,4
17,2,TRUE,270,2,296,0,10,84,17,2,,4
17,3,TRUE,437,555,486,0,10,85,17,3,2,4
17,4,TRUE,212,261,394,0,10,86,17,4,,4
18,1,TRUE,343,45,520,0,10,87,18,1,1,1
18,2,TRUE,518,91,688,0,10,88,18,2,2,1
18,3,TRUE,590,187,216,0,10,89,18,3,3,2
18,4,TRUE,303,55,390,0,10,90,18,4,4,5
18,5,TRUE,232,79,311,0,10,91,18,5,,5
19,1,TRUE,169,174,39,0,10,92,19,1,1,3
19,2,TRUE,164,265,167,0,10,93,19,2,2,3
19,3,TRUE,414,356,114,0,10,94,19,3,3,4
19,4,TRUE,481,191,109,0,10,95,19,4,,4
20,1,TRUE,97,8,53,0,10,96,20,1,1,1
20,2,TRUE,12,3,46,0,10,97,20,2,,1
20,3,TRUE,452,77,119,0,10,98,20,3,3,4
20,4,TRUE,261,146,128,0,10,99,20,4,4,5
20,5,TRUE,126,47,67,0,10,100,20,5,,5
20,6,TRUE,111,28,94,1,10,101,20,6,,5
21,1,TRUE,158,434,323,1,10,102,21,1,1,3
21,2,TRUE,115,355,261,0,10,103,21,2,,3
21,3,TRUE,191,59,83,0,10,104,21,3,2,4
21,4,TRUE,209,41,62,0,10,105,21,4,,4
21,5,TRUE,127,134,77,0,10,106,21,5,4,4
21,6,TRUE,203,132,78,0,10,107,21,6,,4
22,1,TRUE,212,16,107,0,10,108,22,1,1,4
22,2,TRUE,253,4,181,0,10,109,22,2,,4
22,3,TRUE,222,504,244,1,10,110,22,3,2,3
22,4,TRUE,333,432,271,0,10,111,22,4,,3
22,5,TRUE,212,257,128,0,10,112,22,5,,3
23,1,TRUE,867,63,680,3,10,113,23,1,1,4
23,2,TRUE,403,12,461,0,10,114,23,2,2,3
23,3,TRUE,148,1,144,0,10,115,23,3,3,3
23,4,TRUE,153,2,156,0,10,116,23,4,,3
23,5,TRUE,161,188,102,1,10,117,23,5,4,3
24,1,TRUE,92,1,576,0,10,118,24,1,1,2
24,2,TRUE,4,5,255,0,10,119,24,2,,2
24,3,TRUE,0,0,330,0,10,120,24,3,2,2
24,4,TRUE,0,0,166,0,10,121,24,4,,2
24,5,TRUE,220,0,91,0,10,122,24,5,3,3
24,6,TRUE,170,0,89,0,10,123,24,6,,3
24,7,TRUE,159,0,241,0,10,124,24,7,3,4
24,8,TRUE,98,1,253,1,10,125,24,8,,4
24,9,TRUE,2,0,110,0,10,126,24,9,5,3
24,10,TRUE,0,1,322,0,10,127,24,10,,3
25,1,TRUE,0,0,141,0,10,128,25,1,1,3
25,2,TRUE,7,3,96,0,10,129,25,2,,3
25,3,TRUE,0,2,211,0,10,130,25,3,2,3
25,4,TRUE,319,1,366,0,10,131,25,4,3,4
25,5,TRUE,100,6,69,0,10,132,25,5,4,3
25,6,TRUE,193,18,66,0,10,133,25,6,5,3
25,7,TRUE,260,14,144,0,10,134,25,7,,3
