donor,media,day,real,centerX,centerY,radiusMicrons,nNuclei,totalIntensity,areaPxSq,normalizedIntensity,normI-BG,totalI-BG
1,0,21,1,1120.315957,875.3313286,5.833016265,1,67076864,1043.845662,64259.36939,-141.6306134,-147840.5014
1,0,21,1,862.0623333,1977.120405,10.66569761,2,225794841,3490.024287,64697.21195,296.2119488,1033786.896
1,0,21,1,2079.212217,504.7764457,7.702697025,1,117257749,1820.268894,64417.81727,16.81726547,30611.94521
1,0,21,1,1555.374902,370.900752,8.217922474,2,133450859,2071.924834,64409.1218,8.121800685,16827.76054
1,0,21,1,1770.286852,1237.227447,10.81743469,2,231780986,3590.033324,64562.34946,161.3494558,579249.923
1,0,21,1,2330.776851,1164.201877,7.508461911,2,111654761,1729.624706,64554.32825,153.3282468,265200.3237
1,0,21,1,599.6029029,1979.49634,11.61505078,1,266585285,4138.968695,64408.62559,7.625592805,31562.0899
1,0,21,1,249.0518635,1190.433835,8.390656534,2,139524341,2159.94058,64596.37931,195.3793105,422007.7012
1,0,21,1,1509.397604,922.5032409,6.638197752,1,87227258,1351.917805,64521.12523,120.1252333,162399.4417
1,0,21,1,1595.402119,769.0505872,8.963566856,1,158926263,2464.970012,64473.91336,72.91336166,179729.25
1,0,21,1,1175.193636,1295.074083,8.234353476,2,133851583,2080.218374,64344.96718,-56.03282383,-116560.5097
1,0,21,1,1669.586854,1114.827059,6.727709371,1,89501711,1388.62302,64453.57,52.56999963,72999.91163
1,0,21,1,263.5715187,1408.032729,8.169217203,2,131900015,2047.438203,64421.9761,20.97610389,42947.27646
1,0,21,1,1639.557349,783.3889962,9.917903889,2,194665443,3017.794807,64505.85791,104.857911,316439.6592
1,0,21,1,1996.541018,1033.237563,9.247703885,2,169292123,2623.721572,64523.66165,122.6616526,321830.0239
1,0,21,1,1029.142509,1363.995319,11.48333764,1,260425702,4045.630223,64372.09721,-28.90278561,-116929.983
1,0,21,1,59.46131795,2075.80722,13.57021271,2,364502657,5649.671888,64517.49132,116.4913163,658137.7148
1,0,21,1,2201.980966,1528.717385,8.430170495,2,140659204,2180.332016,64512.74528,111.7452775,243641.8062
1,0,21,1,342.3781913,974.9898054,6.665053198,1,87619090,1362.87855,64289.72707,-111.2729349,-151651.4961
1,0,21,1,2267.268858,1384.186498,15.20361769,7,458582439,7091.592898,64665.64644,264.6464371,1876764.794
1,0,21,1,930.074808,55.79015616,14.57898398,1,421816751,6520.853349,64687.35431,286.3543079,1867274.448
1,0,21,1,1752.902896,152.9776931,6.471968757,1,83224577,1285.058031,64763.28303,362.2830301,465554.7175
1,0,21,1,1690.81348,945.6125293,7.063853512,1,98627152,1530.852278,64426.30253,25.3025277,38734.43217
1,0,21,1,248.4459437,483.9075686,15.88632187,1,499886148,7742.774851,64561.62779,160.6277878,1243704.796
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
1,0,21,0,0,0,0,1,0,0,64401,0,0
