objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA,Donor,CellNumber,ImgNum,ImgCellNum,Group,Score
11,7,TRUE,358,474,139,0,9,82,11,7,,3
11,8,TRUE,539,287,35,0,9,83,11,8,5,3
12,1,TRUE,857,98,216,0,9,84,12,1,1,2
12,2,TRUE,357,262,319,0,9,85,12,2,2,3
12,3,TRUE,523,487,467,0,9,86,12,3,,3
12,4,TRUE,397,81,176,2,9,87,12,4,3,3
12,5,TRUE,502,176,226,1,9,88,12,5,,3
12,6,TRUE,611,81,100,0,9,89,12,6,4,4
12,7,TRUE,905,203,213,1,9,90,12,7,,4
12,8,TRUE,506,49,114,1,9,91,12,8,5,2
12,9,FALSE,480,51,76,1,9,92,12,9,,2
13,1,TRUE,433,62,239,0,9,93,13,1,1,1
13,2,TRUE,712,46,328,0,9,94,13,2,,1
13,3,FALSE,24,307,68,68,9,95,13,3,2,3
13,4,FALSE,18,75,19,66,9,96,13,4,,3
14,1,TRUE,399,151,283,0,9,97,14,1,1,3
14,2,TRUE,725,182,270,0,9,98,14,2,,3
14,3,TRUE,1322,713,667,4,9,99,14,3,2,5
14,4,TRUE,458,655,358,0,9,100,14,4,3,3
14,5,TRUE,349,450,400,0,9,101,14,5,,3
14,6,TRUE,312,549,182,0,9,102,14,6,4,3
15,1,FALSE,38,1,66,31,9,103,15,1,1,3
15,2,TRUE,291,521,292,2,9,104,15,2,2,3
15,3,TRUE,374,133,370,2,9,105,15,3,3,4
15,4,TRUE,459,89,198,0,9,106,15,4,,4
15,5,TRUE,422,492,355,0,9,107,15,5,5,2
15,6,TRUE,595,763,412,0,9,108,15,6,,2
15,7,TRUE,532,499,249,0,9,109,15,7,6,3
15,8,TRUE,404,459,250,0,9,110,15,8,,3
16,1,TRUE,296,204,314,0,9,111,16,1,1,4
16,2,TRUE,334,203,312,0,9,112,16,2,,4
16,3,TRUE,594,291,327,0,9,113,16,3,2,3
16,4,TRUE,263,101,136,0,9,114,16,4,,3
16,5,TRUE,597,149,471,0,9,115,16,5,,3
16,6,TRUE,386,192,385,0,9,116,16,6,,2
16,7,TRUE,389,190,285,0,9,117,16,7,,3
17,1,TRUE,0,0,44,0,9,118,17,1,1,5
17,2,TRUE,7,13,48,0,9,119,17,2,,5
17,3,TRUE,306,197,272,0,9,120,17,3,,5
17,4,TRUE,425,225,355,0,9,121,17,4,,5
17,5,TRUE,521,759,436,0,9,122,17,5,2,3
17,6,TRUE,570,553,271,0,9,123,17,6,,3
17,7,TRUE,461,561,493,0,9,124,17,7,3,2
17,8,TRUE,410,289,224,0,9,125,17,8,,2
17,9,TRUE,446,471,62,0,9,126,17,9,4,5
17,10,TRUE,289,404,0,0,9,127,17,10,,5
17,11,TRUE,322,316,3,0,9,128,17,11,,5
18,1,TRUE,608,502,436,0,9,129,18,1,1,4
18,2,TRUE,441,429,213,0,9,130,18,2,,4
18,3,TRUE,649,7,369,0,9,131,18,3,2,4
18,4,TRUE,428,439,352,0,9,132,18,4,,4
18,5,TRUE,619,0,373,0,9,133,18,5,3,4
18,6,TRUE,197,1,1,0,9,134,18,6,4,2
19,1,TRUE,450,142,298,0,9,135,19,1,1,4
19,2,TRUE,406,153,329,0,9,136,19,2,,4
19,3,TRUE,410,27,350,0,9,137,19,3,2,5
19,4,TRUE,617,25,531,0,9,138,19,4,,5
19,5,TRUE,231,145,246,0,9,139,19,5,3,3
19,6,TRUE,261,172,236,1,9,140,19,6,,3
19,7,TRUE,381,161,298,0,9,141,19,7,4,3
19,8,TRUE,365,75,140,1,9,142,19,8,,3
19,9,TRUE,421,91,391,0,9,143,19,9,,1
19,10,TRUE,438,114,60,0,9,144,19,10,,3
19,11,TRUE,547,323,0,0,9,145,19,11,,3
19,12,TRUE,501,343,10,0,9,146,19,12,,3
20,1,TRUE,249,209,227,0,9,147,20,1,1,5
20,2,TRUE,318,210,199,0,9,148,20,2,,5
20,3,TRUE,484,359,301,0,9,149,20,3,2,3
20,4,TRUE,575,206,208,2,9,150,20,4,,3
21,1,TRUE,606,511,630,0,9,151,21,1,1,4
21,2,TRUE,630,143,264,0,9,152,21,2,2,4
21,3,TRUE,444,161,415,0,9,153,21,3,,3
22,1,TRUE,331,356,329,0,9,154,22,1,1,4
22,2,TRUE,299,247,390,0,9,155,22,2,,4
22,3,TRUE,370,143,253,0,9,156,22,3,2,2
22,4,TRUE,378,241,289,0,9,157,22,4,,2
22,5,FALSE,73,54,27,0,9,158,22,5,3,3
23,1,TRUE,470,179,221,0,9,159,23,1,1,4
23,2,TRUE,436,603,323,0,9,160,23,2,2,4
23,3,TRUE,727,179,323,0,9,161,23,3,3,4
24,1,TRUE,306,162,375,3,9,162,24,1,1,3
24,2,TRUE,557,84,273,0,9,163,24,2,2,4
24,3,TRUE,698,69,326,0,9,164,24,3,,4
24,4,TRUE,214,1,53,0,9,165,24,4,3,2
24,5,TRUE,226,0,123,0,9,166,24,5,,2
