"","experimentid","N","Aggrecan.RNA.mean","Aggrecan.RNA.sd","Aggrecan.RNA.se","Aggrecan.RNA.CV","GAPDH.RNA.mean","GAPDH.RNA.sd","GAPDH.RNA.se","GAPDH.RNA.CV","Osteopontin.RNA.mean","Ostepontin.RNA.sd","Osteopontin.RNA.se","Osteopontin.RNA.CV","LPL.RNA.mean","LPL.RNA.sd","LPL.RNA.se","LPL.RNA.CV","AggperGAPDH.RNA.mean","AggperGAPDH.RNA.sd","AggperGAPDH.RNA.se","AggperGAPDH.RNA.CV","AggGAPDH.RNA.cor","GAPDH.RNA.range","cy.RNA.range","AggGAPDH.RNA.corsquared","AggGAPDH.RNA.cor.p","AggGAPDH.RNA.cor.s","AggGAPDH.RNA.cor.pZ","AggGAPDH.RNA.cor.sZ","AggMEANperGAPDHMEAN","AggOPN.RNA.corsquared","AggLPL.RNA.corsquared","GAPDHOPN.RNA.corsquared","GAPDHLPL.RNA.corsquared","OPNLPL.RNA.corsquared","(Intercept)","cy.RNA","Cell.Type","Clone","Substrate","Loading","Media","Donor","Days.CM","Passage","Stain","Purpose","Date.FISHed","Date.Imaged","Good.","Data.Processed.","FISHed.Processed.By","Notes","GFP.dye","GFP.type","GFP.target","alexa.dye","alexa.target","TMR.dye","TMR.target","cy.dye","cy.target","nir.dye","nir.target","dapi.dye","dapi.target"
"79","G44",100,239.49,243.428851945689,24.3428851945689,1.01644683262637,944.77,292.800302719665,29.2800302719665,0.30991701971873,178.95,202.172712193203,20.2172712193203,1.12977207149038,10.72,74.327296942019,7.4327296942019,6.93351650578536,0.254903469971707,0.223886915249531,0.0223886915249531,0.878320390359461,0.37039452082313,1268,1033,0.137192101055796,0.37039452082313,0.13657708163068,0.38888027453658,0.137435918797886,0.253490267472507,0.369931584416005,0.00208459913215847,0.210004044551901,0.0147210730361737,0.00137585696722635,838.07319664385,0.445516737050193,"chondrocyte","het","glass","static","Basal","1",NA,"3","","chondrocyte dedifferentiation core","3/18/2014","3/19/2014","","y CMM","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"80","G45",103,177.446601941748,219.961570982134,21.673457595971,1.23959303010121,946.21359223301,365.822593093102,36.0455711588616,0.386617351616966,120,162.076355764927,15.9698578633355,1.35063629804106,5.7378640776699,36.8366721488377,3.62962515783889,6.41992763338457,0.18722979688347,0.20188703846195,0.019892520987844,1.07828476995893,0.343031285763476,1883,965,0.117670463012543,0.343031285763476,0.133903539434993,0.357524046727172,0.13471256487495,0.18753334701416,0.224305502003942,0.00410063893389694,0.235417620685634,0.000557718930057372,0.00086051208247387,844.97988776485,0.570502355978575,"chondrocyte","het","glass","static","Basal","4B",NA,"3","","chondrocyte dedifferentiation core","3/18/2014","3/19/2014","","y CMM","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"81","G46",91,167.318681318681,177.610114772084,18.6185990164015,1.06150797611058,975.362637362637,315.662672149436,33.0904392733376,0.323636214939484,176.098901098901,175.697281010079,18.4180795536135,0.997719349261601,3.12087912087912,4.34059689913512,0.455018191168553,1.39082506275104,0.168442701007226,0.149948408360339,0.0157188642774729,0.89020425025069,0.340130018120037,1873,955,0.115688429226336,0.340130018120037,0.141566421232644,0.354239549111689,0.142523671773155,0.171545100159986,0.144922776734027,0.0103784985539088,0.208577313540517,0.00180701527885322,0.00379287515925692,874.217518518214,0.604505833104064,"chondrocyte","het","glass","static","Basal","1",NA,"5","","chondrocyte dedifferentiation core","2/17/2014","2/18/2014","ish","y CMM","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"82","G47",102,132.127450980392,206.918344805869,20.4879690706332,1.56605113676624,941.392156862745,444.003437611854,43.9628912824574,0.471645567020153,96.4803921568627,171.453352510161,16.9764115723049,1.77707976384883,2.33333333333333,5.91245259681386,0.58542004117013,2.53390825577737,0.134246045931992,0.138193347762029,0.0136831803742295,1.02940348672941,0.534412629574308,3131,1713,0.285596858648527,0.534412629574308,0.197462034682044,0.59630158218668,0.200090231137675,0.140353252379663,0.567755001011726,0.0255989770509813,0.344393711412946,0.00178033774889677,0.000611263722659656,789.87664177928,1.14673759282581,"chondrocyte","het","glass","static","Basal","4B",NA,"5","","chondrocyte dedifferentiation core","2/17/2014","2/18/2014","ish","Y CMM","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"83","G48",101,30.2871287128713,35.5430264985027,3.53666332186293,1.17353569020882,466.217821782178,302.899013004678,30.1395782817553,0.649694196259609,184.09900990099,144.409106703871,14.3692431775354,0.784410012750938,1.82178217821782,1.96670302589873,0.195694265286775,1.07954894356397,0.0692449483188774,0.0750599327339812,0.00746874245649715,1.08397702007554,0.556843394472175,1964,205,0.310074565967295,0.556843394472175,0.584297248996267,0.628246183133066,0.668962873982357,0.0649634726469589,0.258587045720244,0.0227854233448991,0.395426559849492,0.0534383047442021,0.0538199841466856,322.492056992031,4.74544041968125,"chondrocyte","het","glass","static","Basal","1",NA,"7","","chondrocyte dedifferentiation core","3/24/2014","3/25/2014","ish","y CMM","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"84","G49",99,65.3939393939394,84.2879924851693,8.47126198198795,1.288926669143,878.464646464646,468.479440298368,47.083955317133,0.53329344804455,68.6666666666667,94.9997851769859,9.54783765443724,1.38349201714057,3.41414141414141,4.51756233032477,0.454032097476693,1.32319133343832,0.0813185885188828,0.0900130024648263,0.00904664713421711,1.10691791513234,0.16940390582318,2619,501,0.0286976833081489,0.16940390582318,-0.0301193096202308,0.171052893492683,-0.0301284223871258,0.074441173765063,0.279557155089517,0.0312711919104078,0.0819864945646801,3.21607683704516e-06,0.000735549316717157,816.892294146754,0.941560531274545,"chondrocyte","het","glass","static","Basal","4B",NA,"7","","chondrocyte dedifferentiation core","3/24/2014","3/25/2014","ish","Y CMM","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"86","G50",104,89.2403846153846,107.490572645314,10.5403178354946,1.20450593202378,827.778846153846,324.873715770691,31.8564887724644,0.392464384998686,164.538461538462,144.693980596676,14.1884121261897,0.879393056454784,2.27884615384615,2.51387115228214,0.246505347310473,1.10313333264701,0.108493555223268,0.120878906259472,0.0118531519576692,1.11415748161921,0.286932144710021,1984,481,0.0823300556678923,0.286932144710021,0.181983369541942,0.29521994899873,0.184033230538094,0.107807036903669,0.0996500615028668,0.0891893199180588,0.160491408266044,0.0137432265732845,0.00873909109140194,750.388847858547,0.867208255868022,"chondrocyte","het","glass","static","Basal","1",NA,"9","","chondrocyte dedifferentiation core","3/26/2014","3/27/2014","","y CMM","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"87","G51",103,68.3495145631068,71.6228833979241,7.05721239985219,1.04789161789576,675.456310679612,249.518115052187,24.5857504193287,0.369406741941806,28.1553398058252,34.9598529637375,3.44469666854893,1.24167753629826,2.29126213592233,3.36833894003035,0.331892297639279,1.47008013060647,0.0999870640577341,0.0918832424680989,0.00905352489764866,0.918951299690568,0.367312044945344,1196,407,0.134918138361931,0.367312044945344,0.345578867938565,0.385312370984511,0.360414253747103,0.101190133961939,0.211258738990533,0.0937756989129512,0.143521293929625,0.0116886697657464,0.00130763987481197,587.994012551139,1.27963305500464,"chondrocyte","het","glass","static","Basal","4B",NA,"9","","chondrocyte dedifferentiation core","3/26/2014","3/27/2014","","y CMM","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"88","G56",39,32.4102564102564,35.1895004890573,5.63482974663596,1.08575199293769,50.5128205128205,59.2354231657446,9.48525895139377,1.1726809662254,53.6666666666667,57.0130794473529,9.12939915464738,1.06235551765254,0.538461538461538,0.883955043098134,0.141546089098,1.64163079432511,1.13829745094581,1.62616003039058,0.260394003458068,1.4285897144366,0.173789326300003,313,166,0.0302027299358089,0.173789326300003,0.185005066805683,0.175571370445025,0.187160216531714,0.641624365482233,0.192270668205318,0.0417028197248055,0.320205892764889,0.0710132375227629,0.364367070416017,41.0313879646592,0.292544200457507,"chondrocyte","het","glass","static","Basal","1",NA,"0","","chondrocyte dedifferentiation core","3/27/2014","3/28/2014","","y CMM","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"89","G57",131,116.396946564885,105.710175581039,9.23594092355042,0.90818684424948,150.351145038168,115.595243691354,10.0996033343857,0.768835140311095,47.3664122137405,107.840495184528,9.4220678115057,2.27672922952025,1.64885496183206,3.48606823738796,0.304579196080305,2.11423582915659,1.25613760333893,2.30465426182241,0.201358577775539,1.83471480807231,0.300823767605677,606,631,0.0904949391564744,0.300823767605677,0.419354365161104,0.310425089481843,0.446908363415001,0.774167343623071,0.0913166522988046,0.00432414860549176,0.306848828066136,0.198061867712011,0.0591577582346255,112.061891076043,0.328954109984155,"chondrocyte","het","glass","static","Basal","4B",NA,"0","","chondrocyte dedifferentiation core","3/27/2014","3/28/2014","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
